ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
achu1248,Achuar-Shiwiar,,-2.82646,-77.2641,achu1248,,2,language,Chicham,languages
agua1253,Aguaruna,,-5.30044,-77.9218,agua1253,,4,language,Chicham,languages
aika1237,Aikanã,,-12.6695,-60.5353,aika1237,,5,language,,languages
akaw1239,Akawaio-Ingariko,,6.16277,-60.862,akaw1239,,95,language,Cariban,languages
amah1246,Amahuaca,,-10.2012,-72.3208,amah1246,,7 9,language,Pano-Tacanan,languages
aman1266,Amanayé,,-3.79772,-48.6613,aman1266,,8,language,Tupian,languages
amar1274,Amarakaeri,,-12.4931,-70.5533,amar1274,,88,language,Harakmbut,languages
anam1249,Anambé,,-2.71119,-49.303,anam1249,,10,language,Tupian,languages
ando1256,Andoque,,-0.53751,-72.0869,ando1256,,11,language,,languages
apal1257,Apalaí,,1.49792,-54.7457,apal1257,,12,language,Cariban,languages
apia1248,Apiaká,,-7.84711,-57.91,apia1248,,13,language,Tupian,languages
apin1244,Apinayé,,-6.10774,-47.6315,apin1244,,14,language,Nuclear-Macro-Je,languages
arab1268,Arabela,,-1.96126,-75.0612,arab1268,,16,language,Zaparoan,languages
arao1248,Araona,,-12.4242,-67.7293,arao1248,,17,language,Pano-Tacanan,languages
arap1275,Arapaso,,0.13727,-67.7282,arap1275,,18,language,Tucanoan,languages
araw1273,Araweté,,-4.90246,-52.5001,araw1273,,22,language,Tupian,languages
araw1276,Lokono,,5.64295,-56.9243,araw1276,,21 142,language,Arawakan,languages
arik1265,Arikapú,,-12.4878,-62.7261,arik1265,,23,language,Nuclear-Macro-Je,languages
arua1261,Aruá (Rondonia State),,-12.1186,-62.4357,arua1261,,25,language,Tupian,languages
asha1243,Asháninka,,-11.9311,-73.9073,asha1243,,26 110,language,Arawakan,languages
avac1239,Avá-Canoeiro,,-13.6081,-48.1336,avac1239,,28,language,Tupian,languages
ayor1240,Ayoreo,,-19.220055,-60.217495,ayor1240,,30,language,Zamucoan,languages
baka1277,Bakairí,,-14.2628,-54.7034,baka1277,,31,language,Cariban,languages
bani1255,Baniwa do Icana,,2.17859,-67.7704,bani1255,,33 34,language,Arawakan,languages
bara1380,Barasana-Eduria,,0.02193,-70.808,bara1380,,35 36 37 165,language,Tucanoan,languages
bare1276,Baré,,1.91649,-66.828,bare1276,,38,language,Arawakan,languages
baur1253,Baure,,-13.61,-63.68,baur1253,,39,language,Arawakan,languages
bora1263,Bora,,-2.000259,-72.257066,bora1263,,40 41 163,language,Boran,languages
boro1282,Bororo,,-16.6029,-55.2004,boro1282,,42,language,Bororoan,languages
cabi1241,Cabiyarí,,0.16101,-71.0622,cabi1241,,43,language,Arawakan,languages
cacu1241,Kakua,,0.88778,-69.5659,cacu1241,,44,language,Kakua-Nukak,languages
cams1241,Camsá,,1.14537,-76.8931,cams1241,,109,language,,languages
cand1248,Candoshi-Shapra,,-4.23835,-76.9347,cand1248,,47,language,,languages
cane1242,Central-Southern Timbira,,-6.10712,-45.1299,cane1242,,131 134 135 136,language,Nuclear-Macro-Je,languages
caqu1242,Caquinte,,-11.4812,-73.4451,caqu1242,,45,language,Arawakan,languages
cara1272,Carapana,,0.06168,-69.6465,cara1272,,51 116 117,language,Tucanoan,languages
cari1279,Carijona,,1.21894,-72.0664,cari1279,,53,language,Cariban,languages
cash1254,Cashinahua,,-9.72027,-71.1733,cash1254,,125,language,Pano-Tacanan,languages
cavi1250,Cavineña,,-13.3544,-66.6277,cavi1250,,56,language,Pano-Tacanan,languages
chac1251,Chácobo,,-12.133,-66.7164,chac1251,,57,language,Pano-Tacanan,languages
cham1318,Chamicuro,,-5.1149,-75.6778,cham1318,,58,language,Arawakan,languages
chay1248,Shawi,,-5.63764,-76.8252,chay1248,,59,language,Cahuapanan,languages
cint1239,Cinta Larga,,-10.5879,-60.8312,cint1239,,62,language,Tupian,languages
coca1259,Cocama-Cocamilla,,-4.5,-74.0,coca1259,,63 128,language,Tupian,languages
cofa1242,Cofán,,0.276675,-77.0643,cofa1242,,1 64,language,,languages
cube1242,Cubeo,,1.32382,-70.1939,cube1242,,66,language,Tucanoan,languages
culi1244,Culina,,-8.55268,-70.6648,culi1244,,67 138,language,Arawan,languages
curr1243,Curripaco,,0.69618,-67.5028,curr1243,,68 139,language,Arawakan,languages
daww1239,Dâw,,-0.1177,-67.2934,daww1239,,111,language,Naduhup,languages
deni1241,Deni,,-6.74962,-67.5029,deni1241,,69,language,Arawan,languages
desa1247,Desano,,0.58157,-69.4955,desa1247,,70 71,language,Tucanoan,languages
djeo1235,Djeoromitxí,,-12.038,-64.6694,djeo1235,,101,language,Nuclear-Macro-Je,languages
emer1243,Teko,,3.23694,-52.3699,emer1243,,301,language,Tupian,languages
enaw1238,Enawené-Nawé,,-12.4302,-58.9802,enaw1238,,74,language,Arawakan,languages
esee1248,Ese Ejja,,-11.7268,-67.515,esee1248,,75 76,language,Pano-Tacanan,languages
gali1262,Galibi Carib,,5.83772,-56.8323,gali1262,,52 77 78 79 106,language,Cariban,languages
gavi1246,Gavião Do Jiparaná,,-10.7235,-61.6752,gavi1246,,299,language,Tupian,languages
guah1255,Sikuani,,5.81736,-68.9839,guah1255,,225,language,Guahiboan,languages
guaj1256,Guajá,,-3.93574,-46.3683,guaj1256,,82,language,Tupian,languages
guan1269,Kotiria,,1.07554,-69.5705,guan1269,,84 269,language,Tucanoan,languages
guar1292,Guarayu,,-15.8247,-61.6934,guar1292,,86,language,Tupian,languages
guay1257,Guayabero,,2.8969,-71.844,guay1257,,87,language,Guahiboan,languages
hixk1239,Hixkaryána,,-0.16265,-58.80153,hixk1239,,89,language,Cariban,languages
huam1247,Huambisa,,-3.99109,-77.9797,huam1247,,90,language,Chicham,languages
hupd1244,Hup,,0.58622,-69.8359,hupd1244,,92 147,language,Naduhup,languages
ikpe1245,Ikpeng,,-11.37822,-53.49553,ikpe1245,,259,language,Cariban,languages
inap1242,Iñapari,,-12.46525,-69.30827,inap1242,,100,language,Arawakan,languages
inga1252,Colombian Inga,,1.00313,-76.8606,inga1252,,94,language,Quechuan,languages
iqui1243,Iquito,,-3.31233,-73.97046,iqui1243,,96,language,Zaparoan,languages
iran1263,Irántxe-Münkü,,-12.7178,-57.9806,iran1263,,97 162,language,,languages
iton1250,Itonama,,-12.80431,-64.35748,iton1250,,99,language,,languages
jama1261,Madi,,-7.62223,-66.5662,jama1261,,32 93 103 112,language,Arawan,languages
kama1373,Kamayurá,,-12.2661,-53.4651,kama1373,,107,language,Tupian,languages
kano1245,Kanoê,,-12.1789,-64.5812,kano1245,,113,language,,languages
kara1500,Karajá,,-11.1881,-50.3492,kara1500,,115,language,Nuclear-Macro-Je,languages
kari1301,Uaçá Creole French,,3.42825,-51.6888,kari1301,,119,language,Indo-European,languages
kari1309,Karipuna do Amapa,,-2.92,-52.42,kari1309,,268,language,Bookkeeping,languages
kari1311,Karitiâna,,-9.37937,-64.1522,kari1311,,120,language,Tupian,languages
kari1312,Karipuna,,-10.0,-65.5,kari1312,,118,language,Pano-Tacanan,languages
karo1305,Karo (Brazil),,-10.3342,-61.5691,karo1305,,121,language,Tupian,languages
kata1270,Katawixi,,-7.25015,-64.8319,kata1270,,122,language,Katukinan,languages
kaxa1239,Kaxararí,,-9.47288,-66.3329,kaxa1239,,124,language,Pano-Tacanan,languages
kaxu1237,Kaxuiâna,,2.17138,-55.9101,kaxu1237,,126,language,Cariban,languages
kaya1329,Kayabí,,-11.2747,-55.5479,kaya1329,,127,language,Tupian,languages
kaya1330,Mebengokre,,-7.77352,-51.6737,kaya1330,,81 129 160 260 285,language,Nuclear-Macro-Je,languages
kore1283,Koreguaje,,0.92316,-75.3475,kore1283,,65,language,Tucanoan,languages
koru1247,Korubo,,-5.3655,-70.5094,koru1247,,130,language,Pano-Tacanan,languages
krey1238,Northeastern Timbira,,-4.199179,-44.8295387,krey1238,,133,language,Nuclear-Macro-Je,languages
kuik1246,Kuikúro-Kalapálo,,-12.3035,-53.2261,kuik1246,,105 137,language,Cariban,languages
kuyu1236,Kuyubi,,-11.75,-64.0,kuyu1236,,140,language,Chapacuran,languages
leco1242,Leco,,-15.0092,-67.8818,leco1242,,141,language,,languages
mach1267,Machiguenga,,-12.1291,-72.5017,mach1267,,144,language,Arawakan,languages
